Unit 6. LOBAL WARMING
mausoleum 		 		(n)	lăng mộ
mosaic 		 		(adj)	khảm, chạm khảm
mosque 		 			(n)	nhà thờ Hồi giáo
outstanding 		 		(adj) 	nổi bật, xuất chúng
picturesque 		 		(adj) 	đẹp, gây ấn tượng mạnh
poetic 			 		(adj)	mang tính chất thơ ca
preserve 		 		(v)	bảo tồn
preservation	 	 		(n) 	việc bảo tồn
relic 			 			(n)	cổ vật
respectively 		 		(adv)	theo thứ tự lắn lượt
royal 			 			(adj)	thuộc về nhà vua, hoàng gia
sanctuary 				(n)	thánh địa, địa điểm thẩn thánh
scenic 			 		(adj)	có cảnh quan đẹp
subsequent 		 		(adj)	tiếp theo, kế tiếp
tomb 			 			(n)	lăng mộ
worship 		 		(n)	thờ cúng, tôn thờ
Unit 9. CITIES OF THE FUTURE - KE
city dweller 		 	(n) 	người sống ở đô thị, cư dân thành thị
detect 			 		(v) 	dò tìm, phát hiện ra 
infrastructure 		 	(n) 	cơ sở hạ tầng 
inhabitant 		 		(n) 	cư dân, người cư trú 
liveable 		 		(adj) 	sống được 
optimistic 		 		(adj) 	lạc quan 
overcrowded 		 	(adj) 	chật ních, đông nghẹt 
pessimistic 		 		(adj) 	bi quan
quality of life 		 	(n) 	chất lượng sống
renewable	 	 		(adj) 	có thể tái tạo lại
sustainable 		 		(adj) 	không gây hại cho môi trường, có tính bền vững 
upgrade	 	  		(v) 	nâng cấp
urban 			 		(adj) 	thuộc về đô thị
urban planner 		 chuyên gia quy hoạch đô thị
Unit 10. HEALTHY LIFESTYLE AND LONGEVITY - KEY
be attributed to 	 			quy cho 
boost 			 			(v)	đẩy mạnh, nâng lên 
dietary 		 		(adj) 	thuộc về chế độ ăn uống 
immune system 	 	(n) 	hệ miễn dịch 
life expectancy 	 	(n) 	tuổi thọ 
meditation 		 		(n) 	sự suy ngẫm, sự trầm mặc suy tưởng 
natural remedy 	 	(n.p) 	phương pháp trị liệu dựa vào thiên nhiên 
nutrition 		 		(n)	sự dinh dưỡng 
nutritious 		 		(adj) 	bổ dưỡng, có chất dinh dưỡng 
prescription medicine  	(n)	thuốc do bác sĩ kê đơn 
stress-free 		  		(adj) 	không bị căng thẳng 
workout 		 		(n) 	luyện tập thể lực
